,0,btc_market_price
0,11357.480867826447,11345.42333
1,11468.200085929524,11422.44
2,13038.256235075567,12950.79333
3,11551.046600460328,11505.228000000001
4,10554.021318926587,10544.59333
5,11234.909731483682,11223.063999999998
6,11324.520957027484,11282.25833
7,11231.838556713708,11214.44
8,11030.935495602715,10969.815
9,11584.268684725215,11524.776670000001
10,11795.32703190045,11765.71
11,11235.330008286923,11212.655
12,10147.356736881671,10184.061670000001
13,10133.842038129498,10125.01333
